Compound,LogPS,Log P,TPSA,MV
Erythritol,-4.57,-2.24,80.91,111.97
Urea,-3.79,-1,69.12,54.2
Ethylene glycol,-2.99,-0.95,40.46,62.27
Thiourea,-3.36,-0.46,52.05,63.07
2-Propanol,-1.66,0.42,20.23,70.6
Ethanol,-1.523,0.06,20.23,54.02
Antipyrene,-2,1.4,26.94,178.29
Mannitol,-5.01,-3.1,121.37,161.66
Sucrose,-5.3,-3.75,189.53,283.58
Oestradiol,-0.83,4,40.46,285.54
Thymine,-1.93,-0.47,65.72,108.54
22001,-0.82,-0.35,105.99,166.9
12002,0.71,3.41,72.2,283.06
11003,-0.75,4.67,93.73,468.29
95005,-1.95,1.48,58.56,249.62
26006,-1.79,5.89,172.95,561.28
13007,1.13,1.5,26.02,142.53
Propanolol,0.98,2.74,58.56,276.81
