Compound,LogBB,LogP,TPSA,MV
sulphasalazine,-2.69,3.9,141.32,320.66
moxalactam,-2.52,-0.95,206.31,412.24
clioquinol,-2.4,3.62,33.12,169.42
bbcpd11 (cimetidine analog) (y-g13),-2.15,2.04,73.1,264.59
schembl614298,-2.15,-1.03,149.15,390.98
"uk-240,455",-2.15,-0.23,123.33,265.44
morphine-6-glucuronide,-2.09,-0.73,149.15,390.98
nitrofurantoin,-2.09,-0.05,120.73,181.32
"l-701,324",-2.03,5.28,62.32,305.36
33419-42-0,-2,0.7,160.86,493.51
icotidine,-2,2.39,92.8,356.88
ro 64-0802,-1.96,0.47,93.82,282.07
temelastine,-1.9,3.73,83.56,365.78
"disodium;(6r,7s)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",-1.89,-2.21,219.94,425.06
cefotetan,-1.89,-2.21,219.94,425.06
1848-75-5,-1.89,1.35,36.42,154.87
"2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one",-1.88,2.72,78.94,377.96
m2l-663581,-1.82,0.03,117.52,315.05
ritonavir,-1.82,7.44,133.75,634.12
bis-hydroxylated-l-663581,-1.82,0.22,117.52,331.86
CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,0.02,117.52,298.25
CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,0.03,117.52,315.05
raloxifene,-1.81,6.22,70,425.12
telmesteine,-1.72,-1.06,66.84,171.47
chlorambucil,-1.7,3.46,40.54,268.51
quercetin,-1.7,1.32,118.21,254.14
sucrose,-1.7,-3.75,189.53,283.58
flurbiprofen,-1.68,4.05,37.3,220.77
schembl18285121,-1.67,1.91,128.33,420.91
d-mannitol,-1.6,-3.1,121.37,161.66
mannitol (d-mannitol),-1.6,-3.1,121.37,161.66
compound 34,-1.57,1.66,106.4,235.79
y22,-1.57,4.69,75.11,309.93
l4,-1.54,-5.9,285.15,404.69
chebi: 145922,-1.54,1.76,137.51,269.33
guanidinothiazol analogue 17 ac1lbibi -- pubmed,-1.54,1.49,117.76,203.88
cube-2,-1.52,3,66.76,262.01
cube-6,-1.52,5.17,113.29,403
cube-10,-1.52,5.36,85.98,378.93
chembl151192,-1.52,1.92,110.43,387.35
amethopterin,-1.52,-1.97,210.55,387.36
rifampicin,-1.52,2.89,220.16,772.71
baclofen,-1.52,-0.42,63.32,186.3
etoposide,-1.5,0.7,160.86,493.51
methotrexate,-1.5,-1.97,210.55,387.36
imatinib,-1.5,3.89,86.28,461.44
.alpha.-d-ddc,-1.5,-1.06,90.38,185.75
"mdl 63,246",-1.48,3.93,555.42,1547.65
4-hydroxyalprazolam,-1.48,1.83,63.31,271.28
etodolac,-1.42,3.64,62.32,271.8
